"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (PST)"
"*061vq*",1,1,1,"F","Erling Haaland","MCI","Zenright","Aug 6, 2023 7:01:04"
"*05gcr*",1,2,2,"M","Bruno Miguel Borges Fernandes","MUN","Cursed BrunOnana","Aug 6, 2023 7:01:27"
"*02oox*",1,3,3,"M","Kevin De Bruyne","MCI","Thottenham Hotsluts","Aug 6, 2023 7:01:38"
"*04y92*",1,4,4,"M","Bukayo Saka","ARS","The ThiaGOAT","Aug 6, 2023 7:01:44"
"*03aqp*",1,5,5,"F","Mohamed Salah Ghaly","LIV","Seanhampton FC","Aug 6, 2023 7:01:50"
"*03srg*",1,6,6,"D","Trent Alexander-Arnold","LIV","HappyHaalandays","Aug 6, 2023 7:02:51"
"*03ybi*",1,7,7,"F","Marcus Rashford","MUN","Benford FC","Aug 6, 2023 7:03:52"
"*05r9b*",1,8,8,"M","Martin Odegaard","ARS","RATABE","Aug 6, 2023 7:04:12"
"*02lol*",1,9,9,"F","Harry Kane","TOT","Cheasle FC","Aug 6, 2023 7:04:22"
"*03dx3*",1,10,10,"D","Kieran Trippier","NEW","Chicken ASzobo","Aug 6, 2023 7:05:01"
"*03v9d*",2,1,11,"F","Heung-Min Son","TOT","Chicken ASzobo","Aug 6, 2023 7:05:56"
"*06cm0*",2,2,12,"F","Christopher Nkunku","CHE","Cheasle FC","Aug 6, 2023 7:06:01"
"*052h5*",2,3,13,"M","Gabriel Teodoro Martinelli Silva","ARS","RATABE","Aug 6, 2023 7:06:10"
"*045c8*",2,4,14,"F","Gabriel Fernando de Jesus","ARS","Benford FC","Aug 6, 2023 7:07:11"
"*02lm7*",2,5,15,"M","Jack Grealish","MCI","HappyHaalandays","Aug 6, 2023 7:07:13"
"*03gu5*",2,6,16,"D","Andrew Robertson","LIV","Seanhampton FC","Aug 6, 2023 7:07:47"
"*062ci*",2,7,17,"M","Kaoru Mitoma","BHA","The ThiaGOAT","Aug 6, 2023 7:08:06"
"*0414o*",2,8,18,"M","James Maddison","TOT","Thottenham Hotsluts","Aug 6, 2023 7:08:12"
"*05ocl*",2,9,19,"F","Ollie Watkins","AVL","Cursed BrunOnana","Aug 6, 2023 7:08:25"
"*04abb*",2,10,20,"M","Phil Foden","MCI","Zenright","Aug 6, 2023 7:08:27"
"*0646f*",3,1,21,"F","Alexander Isak","NEW","Zenright","Aug 6, 2023 7:08:29"
"*05nt6*",3,2,22,"M","Eberechi Eze","CRY","Cursed BrunOnana","Aug 6, 2023 7:08:50"
"*04fk1*",3,3,23,"M","Pascal Gross","BHA","Thottenham Hotsluts","Aug 6, 2023 7:09:33"
"*061x2*",3,4,24,"F","Darwin Nunez","LIV","The ThiaGOAT","Aug 6, 2023 7:09:42"
"*04qr8*",3,5,25,"F","Diogo Jose Teixeira da Silva","LIV","Seanhampton FC","Aug 6, 2023 7:09:54"
"*05yld*",3,6,26,"F","Luis Diaz","LIV","HappyHaalandays","Aug 6, 2023 7:09:56"
"*067yv*",3,7,27,"F","Cody Gakpo","LIV","Benford FC","Aug 6, 2023 7:10:11"
"*06cm1*",3,8,28,"F","Nicolas Jackson","CHE","RATABE","Aug 6, 2023 7:10:32"
"*03v6t*",3,9,29,"D","Ben Chilwell","CHE","Cheasle FC","Aug 6, 2023 7:10:39"
"*051k7*",3,10,30,"D","Reece James","CHE","Chicken ASzobo","Aug 6, 2023 7:11:36"
"*06cmm*",4,1,31,"M","Dominik Szoboszlai","LIV","Chicken ASzobo","Aug 6, 2023 7:12:29"
"*052cd*",4,2,32,"M","Mason Mount","MUN","Cheasle FC","Aug 6, 2023 7:12:43"
"*0520r*",4,3,33,"M","Leandro Trossard","ARS","RATABE","Aug 6, 2023 7:12:55"
"*05n07*",4,4,34,"D","Pedro Porro","TOT","Benford FC","Aug 6, 2023 7:13:05"
