"","Goalkeeper"
"ID","Pos","Player","Team","Eligible","Status","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","Min","CS","GA","Sv","YC","RC","PKS","TkW","DIS","G","KP","AT","Int","CLR","CoS","AER","HCS","Sm","OG","SOT"
"*032f9*","G","Jordan Pickford","EVE","G","Act","EVE 1<br/>@ARS 2 F","213.75","12.57","17","1,530","7","23","53","2","0","0","0","0","0","0","0","0","19","1","1","15","1","0","0"
"*02lo6*","G","Daniel Bentley","WOL","G","-","WOL 0<br/>@LIV 2 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04mr4*","G","Martin Dubravka","NEW","G","-","NEW 4<br/>@BRF 2 F","45.5","11.38","4","360","0","11","19","0","0","0","0","0","0","1","0","0","2","0","0","1","0","0","0"
"*06jfd*","G","Ivo Grbic","SHU","G","-","TOT 3<br/>@SHU 0 F","17.75","17.75","1","90","0","3","6","0","0","0","0","0","0","0","0","0","3","0","3","1","0","0","0"
"*02xtd*","G","Sam Johnstone","CRY","G","-","AVL 0<br/>@CRY 5 F","74.75","9.34","8","716","2","11","16","0","0","0","0","0","0","0","0","0","3","0","1","10","0","0","0"
"*05udg*","G","Jose Sa","WOL","G","-","WOL 0<br/>@LIV 2 F","18.25","18.25","1","90","0","3","7","0","0","0","0","0","0","0","0","0","1","0","1","2","0","0","0"
"*06fuw*","G","Djordje Petrovic","CHE","G","-","BOU 1<br/>@CHE 2 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04amh*","G","Aaron Ramsdale","ARS","G","-","EVE 1<br/>@ARS 2 F","14","14","1","90","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0"
"*04f6h*","G","Matz Sels","NEW/NOT","G","-","NOT 2<br/>@BUR 1 F","10.25","10.25","1","90","0","1","3","1","0","0","0","0","0","0","0","0","1","0","1","2","0","0","0"
"*04rha*","G","Jason Steele","BHA","G","-","MUN 2<br/>@BHA 0 F","20.5","10.25","2","180","0","2","6","0","0","0","0","0","0","0","0","0","2","0","1","1","0","0","0"
"*062ds*","G","Matt Turner","NOT","G","-","NOT 2<br/>@BUR 1 F","24","8","3","270","0","5","6","0","0","0","0","0","0","0","0","0","0","0","1","6","0","0","0"
"*06cmu*","G","Bart Verbruggen","BHA","G","-","MUN 2<br/>@BHA 0 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06fxg*","G","Odysseas Vlachodimos","NOT","G","-","NOT 2<br/>@BUR 1 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Totals","","","","","","438.75","11.55","38","3,416","9","60","119","3","0","0","0","0","0","1","0","0","31","1","9","43","1","0","0"

"","Outfielder"
"ID","Pos","Player","Team","Eligible","Status","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","Min","G","KP","AT","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","CS"
"*05o4c*","D","Timothy Castagne","LEI/FUL","D","Act","FUL 4<br/>@LUT 2 F","55.75","11.15","5","361","0","3","1","0","3","1","0","0","1","3","13","1","2","6","0","0","0","5","2"
"*02t1k*","D","Nathaniel Clyne","CRY","D","Act","AVL 0<br/>@CRY 5 F","74.75","12.46","6","527","0","2","1","0","6","0","0","0","1","6","7","4","1","5","0","0","0","4","3"
"*05u1m*","D","Nathan Collins","BRF","D","Act","NEW 4<br/>@BRF 2 F","54.75","13.69","4","358","0","2","0","0","2","4","0","0","1","7","15","0","8","12","0","0","0","3","1"
"*02lp9*","D","Kyle Walker","MCI","D","Act","WHU 1<br/>@MCI 3 F","57.25","11.45","5","427","0","1","0","0","6","1","0","0","1","5","3","2","1","2","0","0","0","2","3"
"*04ug0*","M","Sean Longstaff","NEW","M","Act","NEW 4<br/>@BRF 2 F","109","8.38","13","1,099","3","8","0","6","8","15","4","0","3","5","10","4","3","7","0","0","0","16","4"
"*05r9b*","M","Martin Odegaard","ARS","M","Act","EVE 1<br/>@ARS 2 F","193","14.85","13","1,142","3","26","4","12","7","22","1","0","8","5","1","12","0","0","0","1","0","10","6"
"*0520r*","M","Leandro Trossard","ARS","M","Act","EVE 1<br/>@ARS 2 F","224.5","12.47","18","1,184","7","21","2","13","12","19","2","0","4","7","3","14","1","4","0","1","0","7","10"
"*06c6c*","F","Elijah Adebayo","LUT","F","Act","FUL 4<br/>@LUT 2 F","40","10","4","331","2","0","0","3","1","10","0","0","0","2","5","4","1","8","0","0","0","12","0"
"*06igk*","F","Ben Brereton","SHU","F","Act","TOT 3<br/>@SHU 0 F","28","9.33","3","249","1","2","0","2","0","2","0","0","1","0","0","0","0","2","0","1","0","7","0"
"*03fgo*","F","Dominic Solanke","BOU","F","Act","BOU 1<br/>@CHE 2 F","35.5","8.88","4","300","1","1","0","3","0","3","0","0","0","1","3","3","1","10","0","0","0","5","1"
"*05yg5*","D","Toti","WOL","D","Res","WOL 0<br/>@LIV 2 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04io3*","M","Mario Lemina","WOL","M","Res","WOL 0<br/>@LIV 2 F","87","8.7","10","874","0","10","1","2","13","7","2","0","1","8","19","8","2","5","0","0","0","16","1"
"*03sgc*","F","Jordan Ayew","CRY","F","Res","AVL 0<br/>@CRY 5 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06c4o*","F","Lyle Foster","BUR","F","Res","NOT 2<br/>@BUR 1 F","53.5","10.7","5","443","1","3","1","5","2","3","0","0","0","1","8","3","0","8","0","0","0","8","0"
"*051kg*","D","Max Aarons","BOU","D","-","BOU 1<br/>@CHE 2 F","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03yeg*","D","Tosin Adarabioyo","FUL","D","-","FUL 4<br/>@LUT 2 F","125.25","11.39","11","984","1","2","0","2","10","2","1","0","0","14","33","1","8","27","0","0","0","20","3"
"*0620k*","D","Nayef Aguerd","WHU","D","-","WHU 1<br/>@MCI 3 F","7","7","1","90","0","0","0","0","0","0","1","0","0","1","4","0","0","4","0","0","0","1","0"
"*05os4*","D","Rayan Ait-Nouri","WOL","D","-","WOL 0<br/>@LIV 2 F","9.5","9.5","1","90","0","1","0","0","3","3","0","0","0","2","0","2","0","1","0","0","0","2","0"
