"Player","Team","Position","Type","Team","Pr","Grp/Max","Date (PST)","Gameweek"
"Marc Guehi","CRY","D","Claim","vu","","","Sun May 19, 2024, 7:38AM","38"
"Jarell Quansah","LIV","D","Drop","vu","","","Sun May 19, 2024, 7:38AM","38"
"Bernd Leno","FUL","G","Claim","rafa","","","Sun May 19, 2024, 7:13AM","38"
"Martin Dubravka","NEW","G","Drop","rafa","","","Sun May 19, 2024, 7:13AM","38"
"Jarell Quansah","LIV","D","Claim","vu","","","Sun May 19, 2024, 7:10AM","38"
"Virgil van Dijk","LIV","D","Drop","vu","","","Sun May 19, 2024, 7:10AM","38"
"Christopher Nkunku","CHE","F","Drop","vu","","","Sun May 19, 2024, 7:06AM","38"
"Radu Dragusin","TOT","D","Claim","vu","","","Sun May 19, 2024, 7:05AM","38"
"Malo Gusto","CHE","D","Drop","vu","","","Sun May 19, 2024, 7:05AM","38"
"Gabriel Martinelli","ARS","M","Claim","vu","","","Sun May 19, 2024, 6:57AM","38"
"Nathan Ake","MCI","D","Drop","vu","","","Sun May 19, 2024, 6:57AM","38"
"Virgil van Dijk","LIV","D","Claim","vu","","","Fri May 17, 2024, 7:00AM","38"
"Julio Enciso","BHA","F","Drop","vu","","","Fri May 17, 2024, 7:00AM","38"
"Marc Cucurella","CHE","D","Claim","vu","","","Fri May 17, 2024, 7:00AM","38"
"Reece James","CHE","D","Drop","vu","","","Fri May 17, 2024, 7:00AM","38"
"Christopher Nkunku","CHE","F","Claim","vu","","","Fri May 17, 2024, 7:00AM","38"
"Mykhailo Mudryk","CHE","M","Drop","vu","","","Fri May 17, 2024, 7:00AM","38"
"Harvey Barnes","NEW","M","Claim","vu","","","Thu May 16, 2024, 3:35AM","38"
"Scott McTominay","MUN","M","Drop","vu","","","Thu May 16, 2024, 3:35AM","38"
"Scott McTominay","MUN","M","Claim","vu","","","Wed May 15, 2024, 11:29AM","38"
"Marc Cucurella","CHE","D","Drop","vu","","","Wed May 15, 2024, 11:29AM","38"
"Nathan Ake","MCI","D","Claim","vu","","","Wed May 15, 2024, 11:10AM","38"
"Harvey Barnes","NEW","M","Drop","vu","","","Wed May 15, 2024, 11:10AM","38"
"Mark Flekken","BRF","G","Claim","tj","","","Tue May 14, 2024, 7:42PM","38"
"Ederson","MCI","G","Drop","tj","","","Tue May 14, 2024, 7:42PM","38"
"Harvey Barnes","NEW","M","Claim","vu","","","Tue May 14, 2024, 7:39PM","38"
"Marc Guehi","CRY","D","Drop","vu","","","Tue May 14, 2024, 7:39PM","38"
"Marc Guehi","CRY","D","Claim","vu","","","Tue May 14, 2024, 8:17AM","38"
"Adam Webster","BHA","D","Drop","vu","","","Tue May 14, 2024, 8:17AM","38"
"Dara O'Shea","BUR","D","Claim","mg","1","1/99","Tue May 14, 2024, 8:14AM","38"
"Benoit Badiashile","CHE","D","Drop","mg","","","Tue May 14, 2024, 8:14AM","38"
"Chris Richards","CRY","D","Claim","mg","1","1/99","Tue May 14, 2024, 8:13AM","38"
"Thomas Partey","ARS","M","Drop","mg","","","Tue May 14, 2024, 8:13AM","38"
