"Player","Team","Position","Team","From","To","Date (PST)","Gameweek"
"Anthony Gordon","NEW","M","rafa","Active","Reserve","Sun May 19, 2024, 12:39PM","38"
"Tyrick Mitchell","CRY","D","rafa","Reserve","Active","Sun May 19, 2024, 12:39PM","38"
"Jacob Murphy","NEW","M","vu","Active","Reserve","Sun May 19, 2024, 7:16AM","38"
"Bruno Guimaraes","NEW","M","vu","Reserve","Active","Sun May 19, 2024, 7:16AM","38"
"Jacob Murphy","NEW","M","vu","Reserve","Active","Sun May 19, 2024, 7:15AM","38"
"Bruno Guimaraes","NEW","M","vu","Active","Reserve","Sun May 19, 2024, 7:15AM","38"
"Jarrod Bowen","WHU","M","rafa","Active","Reserve","Sun May 19, 2024, 7:15AM","38"
"Matheus Cunha","WOL","F","rafa","Reserve","Active","Sun May 19, 2024, 7:15AM","38"
"Takehiro Tomiyasu","ARS","D","vu","Active","Reserve","Sun May 19, 2024, 7:08AM","38"
"Virgil van Dijk","LIV","D","vu","Reserve","Active","Sun May 19, 2024, 7:08AM","38"
"Joao Pedro","BHA","F","vu","Inj Res","Active","Sun May 19, 2024, 7:06AM","38"
"Malo Gusto","CHE","D","vu","Active","Reserve","Sun May 19, 2024, 7:02AM","38"
"Marc Cucurella","CHE","D","vu","Reserve","Active","Sun May 19, 2024, 7:02AM","38"
"Gabriel Martinelli","ARS","M","vu","Reserve","Active","Sun May 19, 2024, 6:58AM","38"
"Virgil van Dijk","LIV","D","vu","Active","Reserve","Sun May 19, 2024, 6:58AM","38"
"Virgil van Dijk","LIV","D","vu","Reserve","Active","Sun May 19, 2024, 6:49AM","38"
"Nathan Ake","MCI","D","vu","Active","Reserve","Sun May 19, 2024, 6:49AM","38"
"Virgil van Dijk","LIV","D","vu","Active","Reserve","Fri May 17, 2024, 7:02AM","38"
"Christopher Nkunku","CHE","F","vu","Reserve","Active","Fri May 17, 2024, 7:02AM","38"
"Marc Cucurella","CHE","D","vu","Active","Reserve","Fri May 17, 2024, 7:02AM","38"
"Harvey Barnes","NEW","M","vu","Reserve","Active","Thu May 16, 2024, 8:10AM","38"
"Jacob Murphy","NEW","M","vu","Active","Reserve","Thu May 16, 2024, 8:10AM","38"
"Simon Adingra","BHA","F","rafa","Active","Reserve","Wed May 15, 2024, 8:32PM","38"
"Luis Diaz","LIV","F","rafa","Reserve","Active","Wed May 15, 2024, 8:32PM","38"
"Nathan Ake","MCI","D","vu","Reserve","Active","Wed May 15, 2024, 4:22PM","38"
"Reece James","CHE","D","vu","Active","Reserve","Wed May 15, 2024, 4:22PM","38"
"Julio Enciso","BHA","F","vu","Reserve","Active","Wed May 15, 2024, 3:57PM","37"
"Thiago Alcântara","LIV","M","vu","Active","Reserve","Wed May 15, 2024, 3:57PM","37"
"Jose Sa","WOL","G","tj","Active","Reserve","Wed May 15, 2024, 3:57PM","37"
"Ederson","MCI","G","tj","Reserve","Active","Wed May 15, 2024, 3:57PM","37"
"Jacob Murphy","NEW","M","vu","Reserve","Active","Wed May 15, 2024, 2:57PM","38"
"Mykhailo Mudryk","CHE","M","vu","Active","Reserve","Wed May 15, 2024, 2:57PM","38"
"Moises Caicedo","BHA/CHE","M","tj","Active","Reserve","Tue May 14, 2024, 7:13AM","38"
"Rasmus Hojlund","MUN","F","tj","Active","Reserve","Tue May 14, 2024, 7:13AM","38"
"Adam Wharton","CRY","M","tj","Reserve","Active","Tue May 14, 2024, 7:13AM","38"
"Rodrigo Muniz","FUL","F","tj","Reserve","Active","Tue May 14, 2024, 7:13AM","38"
"Marcos Senesi","BOU","D","tj","Reserve","Active","Tue May 14, 2024, 7:13AM","38"
"Ederson","MCI","G","tj","Reserve","Active","Tue May 14, 2024, 7:13AM","38"
"Julio Enciso","BHA","F","vu","Reserve","Active","Tue May 14, 2024, 7:05AM","38"
"Noni Madueke","CHE","F","vu","Active","Reserve","Tue May 14, 2024, 7:05AM","38"
"Marc Cucurella","CHE","D","vu","Active","Reserve","Tue May 14, 2024, 7:04AM","38"
"Malo Gusto","CHE","D","vu","Reserve","Active","Tue May 14, 2024, 7:04AM","38"
"Brennan Johnson","NOT/TOT","F","vu","Reserve","Active","Tue May 14, 2024, 7:03AM","38"
"Ivan Toney","BRF","F","vu","Active","Reserve","Tue May 14, 2024, 7:03AM","38"
