"","Goalkeeper"
"ID","Pos","Player","Team","Eligible","Status","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","Min","CS","GA","Sv","YC","RC","PKS","TkW","DIS","G","KP","AT","Int","CLR","CoS","AER","HCS","Sm","OG","SOT"
"*04gw6*","G","Arijanet Muric","BUR","G","Act","NOT 2<br/>@BUR 1 F","27.75","13.88","2","180","0","3","9","0","0","0","0","0","0","0","0","0","3","0","3","2","0","0","0"
"*02lym*","G","Lukasz Fabianski","WHU","G","-","WHU 1<br/>@MCI 3 F","30.5","15.25","2","180","1","1","6","0","0","0","0","0","0","0","0","0","2","0","0","4","0","0","0"
"*06clu*","G","Mark Flekken","BRF","G","-","NEW 4<br/>@BRF 2 F","65.25","16.31","4","360","1","6","21","2","0","0","0","0","0","0","0","0","5","0","2","7","1","0","0"
"*05n0a*","G","Wes Foderingham","SHU","G","-","TOT 3<br/>@SHU 0 F","5.25","5.25","1","90","0","2","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"*06jfd*","G","Ivo Grbic","SHU","G","-","TOT 3<br/>@SHU 0 F","10.25","10.25","1","90","0","2","4","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0"
"*03yww*","G","Dean Henderson","MUN/CRY","G","-","AVL 0<br/>@CRY 5 F","13.25","6.62","2","180","1","2","2","0","0","0","1","0","0","0","0","0","1","0","0","1","0","1","0"
"*05udg*","G","Jose Sa","WOL","G","-","WOL 0<br/>@LIV 2 F","94.5","8.59","11","922","0","19","29","1","0","0","0","0","0","0","0","0","6","1","5","13","0","0","0"
"*063e3*","G","Neto","BOU","G","-","BOU 1<br/>@CHE 2 F","102","14.57","7","630","3","8","26","0","0","0","0","0","0","0","0","0","12","0","2","5","1","0","0"
"*06fuw*","G","Djordje Petrovic","CHE","G","-","BOU 1<br/>@CHE 2 F","110.25","13.78","8","720","3","13","29","0","0","0","0","0","0","0","0","0","9","0","4","9","1","0","0"
"*044ei*","G","Nick Pope","NEW","G","-","NEW 4<br/>@BRF 2 F","38.5","9.62","4","360","0","7","14","0","0","0","0","0","0","0","0","0","6","0","0","1","0","0","0"
"*06cmu*","G","Bart Verbruggen","BHA","G","-","MUN 2<br/>@BHA 0 F","10.5","10.5","1","90","0","3","4","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0"
"","Totals","","","","","","508","11.81","43","3,802","9","66","146","3","0","0","1","0","0","0","0","0","48","1","16","43","4","1","0"

"","Outfielder"
"ID","Pos","Player","Team","Eligible","Status","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","Min","G","KP","AT","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","CS"
"*05w9i*","D","Marc Cucurella","CHE","D","Act","BOU 1<br/>@CHE 2 F","96.25","10.69","9","810","0","12","1","1","18","4","5","0","4","11","13","2","4","5","0","0","1","13","2"
"*050jq*","D","Marc Guehi","CRY","D","Act","AVL 0<br/>@CRY 5 F","13.25","13.25","1","75","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"*04e1e*","D","Ben White","ARS","D","Act","EVE 1<br/>@ARS 2 F","420.25","16.16","26","2,211","4","32","5","8","18","9","7","0","11","25","43","5","13","27","0","0","0","18","14"
"*04abn*","M","Harvey Barnes","NEW","M","Act","NEW 4<br/>@BRF 2 F","42.5","8.5","5","220","2","2","1","3","0","6","1","0","0","2","0","4","0","1","0","0","0","3","1"
"*05ylj*","M","Bruno Guimaraes","NEW","M","Act","NEW 4<br/>@BRF 2 F","88","22","4","360","2","9","2","4","13","10","0","0","2","3","0","5","1","2","0","0","0","7","0"
"*052h5*","M","Gabriel Martinelli","ARS","M","Act","EVE 1<br/>@ARS 2 F","20.5","20.5","1","90","0","5","0","1","0","3","0","0","5","0","1","2","0","0","0","0","0","1","0"
"*05l8q*","M","Cole Palmer","MCI/CHE","M","Act","BOU 1<br/>@CHE 2 F","650.5","20.98","31","2,545","22","70","13","45","12","42","7","0","9","19","10","49","2","1","0","1","0","45","7"
"*04mi4*","F","Callum Hudson-Odoi","CHE/NOT","F","Act","NOT 2<br/>@BUR 1 F","54","9","6","464","0","6","0","5","2","10","0","0","0","4","3","16","1","0","0","0","0","10","0"
