"","Goalkeeper"
"ID","Pos","Player","Team","Eligible","Status","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","Min","CS","GA","Sv","YC","RC","PKS","TkW","DIS","G","KP","AT","Int","CLR","CoS","AER","HCS","Sm","OG","SOT"
"*05tqx*","G","David Raya","BRF/ARS","G","Act","EVE 1<br/>@ARS 2 F","35.75","11.92","3","270","2","1","5","1","0","0","0","0","0","0","0","0","3","0","0","2","0","0","0"
"*063e3*","G","Neto","BOU","G","Res","BOU 1<br/>@CHE 2 F","42.75","14.25","3","270","1","3","11","0","0","0","0","0","0","0","0","0","3","1","2","2","0","0","0"
"*04fk5*","G","Ederson","MCI","G","-","WHU 1<br/>@MCI 3 F","256.5","9.16","28","2,357","9","24","46","5","0","0","0","0","0","1","0","0","14","1","8","18","3","0","0"
"*04yme*","G","Robert Sanchez","CHE","G","-","BOU 1<br/>@CHE 2 F","32.75","16.38","2","173","0","3","10","0","0","1","0","0","0","0","0","0","3","0","0","1","0","0","0"
"","Totals","","","","","","367.75","10.22","36","3,070","12","31","72","6","0","1","0","0","0","1","0","0","23","2","10","23","3","0","0"

"","Outfielder"
"ID","Pos","Player","Team","Eligible","Status","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","Min","G","KP","AT","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","CS"
"*05os8*","D","Joachim Andersen","CRY","D","Act","AVL 0<br/>@CRY 5 F","85","10.62","8","716","0","2","0","0","10","0","2","0","0","7","48","2","1","20","0","0","0","11","2"
"*05opk*","D","Vladimir Coufal","WHU","D","Act","WHU 1<br/>@MCI 3 F","121.75","8.12","15","1,266","0","11","2","2","11","4","1","0","10","16","27","5","6","17","0","0","0","36","0"
"*06ex4*","D","Josko Gvardiol","MCI","D","Act","WHU 1<br/>@MCI 3 F","364.5","14.02","26","2,223","4","18","2","14","30","14","3","0","4","27","26","25","11","29","0","1","0","23","8"
"*062dt*","M","Joao Palhinha","FUL","M","Act","FUL 4<br/>@LUT 2 F","150","10","15","1,267","2","8","0","6","30","11","3","0","0","18","27","8","5","19","0","0","0","22","4"
"*0647t*","M","Lucas Paqueta","WHU","M","Act","WHU 1<br/>@MCI 3 F","348.5","11.62","30","2,544","4","42","6","11","47","78","10","0","9","20","22","41","1","59","0","0","0","51","4"
