"","Goalkeeper"
"ID","Pos","Player","Team","Eligible","Status","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","Min","CS","GA","Sv","YC","RC","PKS","TkW","DIS","G","KP","AT","Int","CLR","CoS","AER","HCS","Sm","OG","SOT"
"*06clu*","G","Mark Flekken","BRF","G","Act","NEW 4<br/>@BRF 2 F","56","9.33","6","540","1","10","17","1","0","0","0","0","0","0","0","0","8","0","1","3","0","0","0"
"*05udg*","G","Jose Sa","WOL","G","IR","WOL 0<br/>@LIV 2 F","77.5","15.5","5","450","0","7","25","0","0","0","0","0","0","1","1","0","6","1","0","3","2","0","0"
"*04mr4*","G","Martin Dubravka","NEW","G","-","NEW 4<br/>@BRF 2 F","9","9","1","90","0","3","3","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"*04fk5*","G","Ederson","MCI","G","-","WHU 1<br/>@MCI 3 F","29","14.5","2","158","2","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05n0a*","G","Wes Foderingham","SHU","G","-","TOT 3<br/>@SHU 0 F","11.5","11.5","1","90","0","2","4","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0"
"*03yww*","G","Dean Henderson","MUN/CRY","G","-","AVL 0<br/>@CRY 5 F","3.25","3.25","1","90","0","2","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"*06ewr*","G","Thomas Kaminski","LUT","G","-","FUL 4<br/>@LUT 2 F","27","9","3","270","0","6","10","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"*045ob*","G","Caoimhin Kelleher","LIV","G","-","WOL 0<br/>@LIV 2 F","34.5","11.5","3","270","0","3","9","0","0","0","0","0","0","1","0","0","2","0","2","1","2","0","0"
"*04gw6*","G","Arijanet Muric","BUR","G","-","NOT 2<br/>@BUR 1 F","42.5","14.17","3","270","0","6","10","0","0","1","0","0","0","2","0","0","2","0","0","5","0","0","0"
"*063e3*","G","Neto","BOU","G","-","BOU 1<br/>@CHE 2 F","11.25","11.25","1","90","0","3","5","1","0","0","0","0","0","0","0","0","5","0","0","0","1","0","0"
