"Player","Team","Position","From","To","# Obj","Date (PST)","Gameweek"
"Jeremy Doku","MCI","F","Chicken ASzobo","Seanhampton FC","2","Fri May 3, 2024, 5:26PM","36"
"Cody Gakpo","LIV","F","Chicken ASzobo","Seanhampton FC","2","Fri May 3, 2024, 5:26PM","36"
"Dejan Kulusevski","TOT","M","Seanhampton FC","Chicken ASzobo","2","Fri May 3, 2024, 5:26PM","36"
"Chris Wood","NOT","F","Seanhampton FC","Chicken ASzobo","2","Fri May 3, 2024, 5:26PM","36"
"Jean-Philippe Mateta","CRY","F","Cheasle FC","The ThiaGOAT","3","Fri May 3, 2024, 5:26PM","36"
"Bruno Guimaraes","NEW","M","The ThiaGOAT","Cheasle FC","3","Fri May 3, 2024, 5:26PM","36"
"Vitalii Mykolenko","EVE","D","Cursed BrunOnana","RATABE","1","Sat Apr 20, 2024, 5:00PM","35"
"Diogo Jota","LIV","F","Cursed BrunOnana","RATABE","1","Sat Apr 20, 2024, 5:00PM","35"
"Martin Odegaard","ARS","M","Cursed BrunOnana","RATABE","1","Sat Apr 20, 2024, 5:00PM","35"
"Kyle Walker","MCI","D","Cursed BrunOnana","RATABE","1","Sat Apr 20, 2024, 5:00PM","35"
"Dominic Solanke","BOU","F","Cursed BrunOnana","RATABE","1","Sat Apr 20, 2024, 5:00PM","35"
"Nicolas Jackson","CHE","F","RATABE","Cursed BrunOnana","1","Sat Apr 20, 2024, 5:00PM","35"
"Ollie Watkins","AVL","F","RATABE","Cursed BrunOnana","1","Sat Apr 20, 2024, 5:00PM","35"
"Tosin Adarabioyo","FUL","D","RATABE","Cursed BrunOnana","1","Sat Apr 20, 2024, 5:00PM","35"
"Pedro Porro","TOT","D","RATABE","Cursed BrunOnana","1","Sat Apr 20, 2024, 5:00PM","35"
"Alex Iwobi","EVE/FUL","M","RATABE","Cursed BrunOnana","1","Sat Apr 20, 2024, 5:00PM","35"
"Alex Moreno","AVL","D","Chicken ASzobo","Seanhampton FC","0","Fri Feb 16, 2024, 5:00PM","25"
"Jeremy Doku","MCI","F","Seanhampton FC","Chicken ASzobo","0","Fri Feb 16, 2024, 5:00PM","25"
"John McGinn","AVL","M","Cursed BrunOnana","RATABE","1","Thu Feb 8, 2024, 5:00PM","24"
"Pedro Porro","TOT","D","Cursed BrunOnana","RATABE","1","Thu Feb 8, 2024, 5:00PM","24"
"Cristian Romero","TOT","D","Cursed BrunOnana","RATABE","1","Thu Feb 8, 2024, 5:00PM","24"
"Conor Gallagher","CHE","M","Cursed BrunOnana","RATABE","1","Thu Feb 8, 2024, 5:00PM","24"
"Elijah Adebayo","LUT","F","RATABE","Cursed BrunOnana","1","Thu Feb 8, 2024, 5:00PM","24"
"Joachim Andersen","CRY","D","RATABE","Cursed BrunOnana","1","Thu Feb 8, 2024, 5:00PM","24"
"Enzo Fernandez","CHE","M","RATABE","Cursed BrunOnana","1","Thu Feb 8, 2024, 5:00PM","24"
"Harry Maguire","MUN","D","RATABE","Cursed BrunOnana","1","Thu Feb 8, 2024, 5:00PM","24"
"Micky van de Ven","TOT","D","Benford FC","Seanhampton FC","0","Sat Feb 3, 2024, 5:00PM","24"
"Ben Mee","BRF","D","Seanhampton FC","Benford FC","0","Sat Feb 3, 2024, 5:00PM","24"
"Ollie Watkins","AVL","F","Cursed BrunOnana","RATABE","1","Sun Nov 12, 2023, 5:00PM","13"
"Martin Odegaard","ARS","M","RATABE","Cursed BrunOnana","1","Sun Nov 12, 2023, 5:00PM","13"
"Vladimir Coufal","WHU","D","Cursed BrunOnana","Seanhampton FC","1","Thu Nov 2, 2023, 5:00PM","11"
"Conor Gallagher","CHE","M","Seanhampton FC","Cursed BrunOnana","1","Thu Nov 2, 2023, 5:00PM","11"
"Odsonne Edouard","CRY","F","Chicken ASzobo","Cursed BrunOnana","0","Fri Oct 20, 2023, 5:00PM","9"
"Dominic Solanke","BOU","F","Chicken ASzobo","Cursed BrunOnana","0","Fri Oct 20, 2023, 5:00PM","9"
"Vitalii Mykolenko","EVE","D","Chicken ASzobo","Cursed BrunOnana","0","Fri Oct 20, 2023, 5:00PM","9"
"Luke Shaw","MUN","D","Cursed BrunOnana","Chicken ASzobo","0","Fri Oct 20, 2023, 5:00PM","9"
"Ethan Pinnock","BRF","D","Cursed BrunOnana","Chicken ASzobo","0","Fri Oct 20, 2023, 5:00PM","9"
"Taiwo Awoniyi","NOT","F","Chicken ASzobo","Seanhampton FC","0","Thu Aug 17, 2023, 5:00PM","2"
"Harry Wilson","FUL","M","Seanhampton FC","Chicken ASzobo","0","Thu Aug 17, 2023, 5:00PM","2"
"Alisson","LIV","G","RATABE","Seanhampton FC","0","Wed Aug 9, 2023, 5:00PM","1"
"Jason Steele","BHA","G","Seanhampton FC","RATABE","0","Wed Aug 9, 2023, 5:00PM","1"
