#HEADER:GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36
zach,7,8,9,9,9,9,8,8,7,6,4,4,3,4,5,5,6,5,6,5,7,7,7,6,6,7,7,8,7,8,7,7,7,6,6,5
mg,1,4,7,8,6,6,4,4,3,3,3,3,4,3,3,2,2,2,2,2,2,3,3,2,3,2,1,1,1,2,2,1,4,3,3,3
aj,6,5,3,4,2,4,5,5,6,5,8,8,7,8,7,7,8,8,7,6,5,5,5,5,5,5,5,6,4,5,5,5,5,5,5,7
md,2,1,2,3,4,2,3,3,4,4,7,5,5,5,4,6,5,7,8,8,8,8,8,8,8,8,8,7,8,7,8,8,8,8,8,8
sean,3,3,1,1,1,1,1,1,1,2,2,1,2,2,2,3,3,3,4,3,3,2,2,3,2,3,4,5,6,6,6,6,6,7,7,6
rafa,4,6,4,5,5,5,6,6,8,7,5,6,6,6,6,4,4,4,3,4,4,4,4,4,4,4,3,3,5,4,4,4,3,4,4,4
ben,9,7,6,6,7,7,9,9,9,9,9,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
katabe,8,9,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
vu,10,10,8,7,8,8,7,7,5,8,6,7,8,7,8,8,7,6,5,7,6,6,6,7,7,6,6,4,3,3,3,3,2,2,2,2
tj,5,2,5,2,3,3,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1
